private score,public score,date
-1.07139,-1.07771,27/08/19
-1.12511,-1.13144,11/08/19
-1.14009,-1.14481,18/07/19
-1.09494,-1.10191,17/07/19
-1.05827,-1.06057,15/07/19
-1.08762,-1.09594,13/07/19
-1.08762,-1.09594,12/07/19
-1.08235,-1.09176,11/07/19
-1.17180,-1.17666,07/07/19
-1.05916,-1.06307,05/07/19
-0.98888,-0.99132,04/07/19
-1.18162,-1.18641,10/07/19
-1.19976,-1.20476,09/07/19
-1.11626,-1.12243,08/07/19
-1.12343,-1.12864,06/07/19
-1.11117,-1.11621,05/07/19
-1.27815,-1.28199,08/07/19
-1.27936,-1.28163,07/08/19
-1.27951,-1.28666,02/08/19
-1.19214,-1.20198,31/07/19
-1.21914,-1.22428,30/07/19
-0.98219,-0.98779,29/07/19
-1.00661,-1.01021,28/07/19
-1.29729,-1.30235,18/07/19
-1.27228,-1.27650,11/07/19
-1.27658,-1.28193,10/07/19
-1.32279,-1.32705,17/08/19
-1.34624,-1.35245,18/08/19
-1.35479,-1.35900,11/07/19
-1.32335,-1.32739,10/07/19
-1.32687,-1.33255,13/07/19
-1.34874,-1.35448,13/07/19
-1.35347,-1.35907,13/07/19
-1.33005,-1.33529,12/07/19
-1.32544,-1.33032,11/07/19
-1.36251,-1.36774,11/07/19
-1.36287,-1.36700,19/07/19
-1.36843,-1.37389,22/07/19
-1.36843,-1.37389,21/07/19
-1.39374,-1.39592,25/08/19
-1.37457,-1.37805,21/08/19
-1.39793,-1.40410,21/08/19
-1.33887,-1.35155,19/08/19
-1.40694,-1.41501,22/07/19
-1.47574,-1.48168,07/08/19
-1.52095,-1.52598,24/07/19
-1.35179,-1.35637,01/08/19
-1.35672,-1.36130,01/08/19
-1.44194,-1.44651,01/08/19
-1.47632,-1.48302,01/08/19
-1.57235,-1.57765,25/07/19
-1.51923,-1.52445,24/07/19
-1.56420,-1.56985,30/07/19
-1.57230,-1.57787,30/07/19
-1.57585,-1.58132,30/07/19
-1.57444,-1.57983,26/07/19
-1.47434,-1.47844,23/07/19
-1.37297,-1.37734,22/07/19
